00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.463,30.932,37.425,39.385,39.5145,39.3795,39.0775,38.3645,37.183,33.8235,25.3045,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.642,27.0105,29.9225,38.107,34.998,39.6,40.025,39.652,37.9165,34.123,25.4115,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1945,29.504,30.054,37.195,39.519,40.275,39.8845,39.477,33.242,33.851,21.318,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1025,27.656,18.6235,31.6875,33.5025,39.6335,32.816,37.4335,38.397,35.345,25.128,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7025,21.14,33.8815,33.8325,39.3305,40.415,40.529,40.028,37.937,35.123,26.7135,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.448,31.1075,32.8605,38.1765,38.666,39.347,39.3585,38.548,37.0495,33.6085,27.2305,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.957,33.2035,38.1135,39.312,39.9925,40.2545,39.9755,38.8245,37.9355,35.432,26.595,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.492,10.2985,37.1595,38.635,39.289,38.984,38.7415,39.112,38.938,35.445,27.6305,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.032,31.4975,37.02,38.831,39.6905,40.053,39.828,38.9445,38.136,35.1185,27.796,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.613,30.891,36.1835,37.795,38.273,38.5805,37.9765,36.6645,36.2875,33.367,22.031,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6215,30.9645,35.9385,37.617,37.989,38.269,39.007,38.7105,38.0815,35.7895,26.1225,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.447,31.153,35.6695,37.527,37.53,36.7065,36.007,35.93,37.504,35.278,26.561,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2635,31.372,36.0685,37.8015,38.9165,38.5945,39.881,39.7775,38.564,35.479,26.987,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.991,29.4735,35.8435,38.03,39.041,39.503,38.142,33.044,37.323,29.5485,17.517,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.647,30.3955,36.115,37.5265,38.4855,39.0185,39.0325,38.272,37.8635,35.147,26.744,0.0,0.0,0.0,0.0,0.0
