from,to,distance
145,146,19.03077562082545
146,147,17.784215953349495
146,153,15.44656652764712
147,148,11.468098957953572
148,154,35.19471693089817
149,150,16.17160949096726
150,151,17.983524905601843
151,152,15.271154452657415
152,153,20.146446192827153
154,155,36.61698181797004
155,156,18.73484398129168
156,157,17.2294097583504
156,163,14.476824106530755
157,158,13.333500166010724
159,160,9.27329708987114
160,161,15.32331084725384
161,162,18.355763497798478
162,163,11.742106714820801
164,165,26.477914155632476
164,206,88.56936855826775
165,166,16.91191683395169
165,172,14.738337786055308
166,167,13.3171524558206
167,168,15.245513025559628
168,169,12.429632731163126
168,173,29.11086783113114
169,170,14.680393116342545
171,172,14.944500978505683
173,174,21.1777782922711
174,175,14.426124205627492
174,181,23.974853360858194
175,176,14.790414818683978
176,182,44.339825469262905
177,178,12.803362479752213
178,179,12.752778655510001
179,180,15.334604675904956
180,181,16.75407226333524
182,183,29.362974102188662
183,184,16.300310589623482
183,190,15.541624669677093
184,185,13.408387350064904
186,187,14.45490753898139
186,191,30.351201472541586
187,188,14.444546362855357
188,189,15.852149007954795
189,190,17.592151353525264
191,199,33.1573805489757
192,193,16.41815320847792
192,199,13.774885432211637
193,194,13.571753104933759
194,195,14.320149420510665
195,196,10.377485824497448
196,200,75.85924031193125
197,198,14.92969769876089
198,199,14.357274910462268
200,201,25.947035150067226
201,202,17.775735068380833
202,203,21.876840108907952
204,205,53.39528366028739
205,206,21.604989840650997
206,207,34.56745815206959
207,208,19.57610034277213
208,209,50.61000296011708
209,210,24.476623458322475
209,212,38.94474967476636
211,215,16.478941227198565
212,213,30.202104715531753
212,217,26.34999772660634
213,219,19.156347746976746
213,220,82.45302804838651
214,215,34.2115163002886
215,216,35.38239530321283
215,217,26.312247282900135
217,218,37.57005039216558
220,221,40.044021300380805
221,223,57.13628853739678
222,224,66.95755937675612
223,224,31.742732054926204
223,226,21.789077921843738
224,227,28.112843005371047
225,228,23.685050407848156
225,229,35.390881911635105
227,228,30.791436357333918
228,249,36.300614887420615
230,231,42.836704109852654
230,251,35.82679003751151
231,232,21.06102238018384
232,233,27.508500683850155
233,234,24.0340729303631
234,235,22.36794386289101
235,236,25.171313128967107
236,237,17.788793860587123
237,259,708.8006400592235
238,239,23.08044645168194
238,242,44.91499877582072
239,240,23.453766598278932
239,258,95.35227881541621
240,241,22.473227887635055
242,248,52.981178925417986
243,244,38.32957055338601
244,245,42.13611972141694
244,247,28.58659319969254
245,246,33.91748804686895
245,248,39.144213731960306
246,250,36.53110586722478
247,254,92.25364488964937
249,250,29.066444210953968
250,251,28.952963368625937
251,252,39.4829362765249
253,260,47.68464781740867
254,260,83.90646579143484
255,256,39.18908041962748
256,257,34.41666119892397
257,258,31.731246895994666
