from,to,ini,res,rea,sus,pmax,qmax
44,45,1,9.299876586201964e-08,2.1025807934021835e-08,0,114868.82148781714,114868.82148781714
46,47,1,9.549734410180532e-08,2.1590703883886424e-08,0,114868.82148781714,114868.82148781714
47,48,1,7.343580499703849e-08,1.660287765150436e-08,0,114868.82148781714,114868.82148781714
48,49,1,1.0105318801050208e-07,2.284680772411352e-08,0,114868.82148781714,114868.82148781714
48,50,1,1.790439658727972e-07,4.0479505327762853e-08,0,114868.82148781714,114868.82148781714
50,51,1,1.8964735417394395e-07,4.2876793117587335e-08,0,114868.82148781714,114868.82148781714
51,52,1,8.042691596663968e-08,1.8183476653327237e-08,0,114868.82148781714,114868.82148781714
52,53,1,6.827005385465682e-08,1.5434968697574588e-08,0,114868.82148781714,114868.82148781714
53,54,1,9.577360256847292e-08,2.1653162319828667e-08,0,114868.82148781714,114868.82148781714
54,55,1,1.0178100778757227e-07,2.301135828240765e-08,0,114868.82148781714,114868.82148781714
55,56,1,8.477705939543025e-08,1.9166987341575537e-08,0,114868.82148781714,114868.82148781714
56,57,1,8.492816210886386e-08,1.920114969417792e-08,0,114868.82148781714,114868.82148781714
57,58,1,8.175690620644534e-08,1.8484170098848513e-08,0,114868.82148781714,114868.82148781714
59,67,1,1.4470271880357235e-07,3.271539729472071e-08,0,114868.82148781714,114868.82148781714
60,61,1,7.56234918273714e-08,1.7097485108797014e-08,0,114868.82148781714,114868.82148781714
60,67,1,6.631480396176079e-08,1.499291220005027e-08,0,114868.82148781714,114868.82148781714
61,62,1,8.351263870323564e-08,1.8881118315514148e-08,0,114868.82148781714,114868.82148781714
61,84,1,3.4269397412026695e-07,7.747863762719081e-08,0,114868.82148781714,114868.82148781714
62,63,1,9.236883324173334e-08,2.0883388385087542e-08,0,114868.82148781714,114868.82148781714
63,64,1,7.562281815134163e-08,1.7097332799433763e-08,0,114868.82148781714,114868.82148781714
63,75,1,2.207162589170646e-07,4.990106723342332e-08,0,114868.82148781714,114868.82148781714
64,65,1,7.695478966292792e-08,1.7398474184661967e-08,0,114868.82148781714,114868.82148781714
